TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
114812302176419063161286957698446395184865812255931896265071911790493727888762,1753968963649,1753968982595,1753969007034,1753968982658,1753969007034,,,43385
48740225687141528539529227732459345314213988474749749414688172472133661610644,1753968968774,1753968991519,1753969017524,1753968991590,1753969017524,,,48750
6926047473914209140808467436368785829943442639137323951009003554269688450733,1753968968750,1753968993323,1753969016437,1753968993454,1753969016437,,,47686
55831416572674576466908336051846901026243842191135614347704353565012106866622,1753968994157,1753969023663,1753969046414,1753969023811,1753969046414,,,52257
83664344080889104726167705143667826297656347676863208351268162410856585273364,1753968999221,1753969027827,1753969027965,,,,,28744
32083838045710381638381239706058388645726209872681719163003656793431675944289,1753968948056,1753968952522,1753968957475,1753968952582,1753968957475,,,9419
89242367036322362597079418490060117651771773446547438835583281101304218277412,1753968953405,1753968967554,1753968981429,1753968967618,1753968981429,,,28023
46671079373480472240488455075369202519054286408688703500541837309874603452038,1753968958476,1753968967554,1753968983045,1753968967618,1753968983045,,,24568
38080471858981271055910990736766515130778977590609242589924168769856058623342,1753968958523,1753968972742,1753969002656,1753968972861,1753969002656,,,44132
20455422769927418608642817199649012691578921125133364662943333836256859349825,1753968958528,1753968972742,1753969002656,1753968972861,1753969002656,,,44127
104664669183184149511271411509331575483629877589363691517672267224253804365192,1753968968749,1753968992654,1753969011482,1753968992722,1753969011482,,,42732
103766456057967672279678459055514305791376638447328095173021712506322950387442,1753968973854,1753969002607,1753969002656,,,,,28802
55853558402482377324820814581558635558590915191916625413053987654745174639577,1753968999281,1753969026391,1753969053219,1753969026437,1753969053219,,,53938
100218624474681732949380771786802417161276231676594299848663248996109142285337,1753968948002,1753968951334,1753968957767,1753968951386,1753968957767,,,9764
2376071889834320715567142876057310498855671895816042497258333426294661264817,1753968948038,1753968952649,1753968952754,,,,,4715
19909051736523567103415167033579941550118472167971575965144340462130510134016,1753968948172,1753968952649,1753968956391,1753968952754,1753968956391,,,8218
72629647982342060916415500871527308959505697498808236766436042631938852789615,1753968953303,1753968957436,1753968966411,1753968957475,1753968966411,,,13107
28128118090082587136103661769168465123729665424742969569746694728540717765892,1753968953433,1753968967554,1753968981429,1753968967618,1753968981429,,,27996
55079282409532084066163097949503542755820251662245350106505098439592853951320,1753968958487,1753968967738,1753968967879,,,,,9391
71725621155387180627212648068224034903591955655993278670154790700380805487744,1753968968752,1753968992654,1753969018010,1753968992722,1753969018010,,,49258
11945696584491968204253072352557068809647639129922354103123774195806164101500,1753968968763,1753968997584,1753968997622,,,,,28859
51792144636838951542562471957660445537566572531627302119790141339570742148362,1753968958542,1753968972456,1753969002656,1753968972495,1753969002656,,,44114
75522873539060897053139218046365067958840830316109929346331898350905048991755,1753968973899,1753969002478,1753969036596,1753969002521,1753969036596,,,62696
98366250571941117643436323157009675977264107830883951455552620258442762851334,1753968973920,1753969001377,1753969042662,1753969001419,1753969042662,,,68742
45669495008198699020595681805619197712669617948055956556933045684862960314446,1753968973859,1753969002478,1753969042662,1753969002521,1753969042662,,,68803
7875563783599342706364094845317897362040520581679988244243077954837798932732,1753968973865,1753969002826,1753969002980,,,,,29114
33871844451463956281512542302314094807654756862246447678603444582827015234903,1753968999248,1753969037687,1753969053219,1753969037765,1753969053219,,,53970
25979758177518436638156130399713520901365169908519937423148444941203464476270,1753968948184,1753968952522,1753968956391,1753968952582,1753968956391,,,8207
27677003432781063397158393898595706461387077035340168152064612000898918569971,1753968947959,1753968952649,1753968952754,,,,,4794
10077184577118763057894046575987587905897569309199922624768902204559510921687,1753968948194,1753968957529,1753968966411,1753968957589,1753968966411,,,18217
42549312086644705642896323608715548011334718201843590983346765888415290731157,1753968958470,1753968967453,1753968967495,,,,,9025
50708978677979927118560285858513246251091096126655873852996685640814233502049,1753968963678,1753968982595,1753968982658,,,,,18979
17922637212898279751694961290954500582528385098492538543826760057814597459448,1753968968792,1753968997755,1753969037945,1753968997884,1753969037945,,,69152
93587371548570920091293164631448780142430527248671935903470614380456133753016,1753968988970,1753969012507,1753969052879,1753969012563,1753969052879,,,63909
111549355597998120268017075543340355452690782902354050770168922592390102194083,1753968973934,1753969012658,1753969012739,,,,,38805
93037660124490801951649431992608034677195237100622633834963575643298823075226,1753968947970,1753968952522,1753968956391,1753968952582,1753968956391,,,8420
19469508353392010912911469193211732799202010731306497465367103799482348232023,1753968953315,1753968961550,1753968972495,1753968961642,1753968972495,,,19179
40589122227005925224961781822614268176292939439294745723847246073860141498481,1753968958558,1753968977707,1753969008092,1753968977861,1753969008092,,,49534
20103307740928310477746278736060980916152521367234853050602302904405064374085,1753968963667,1753968982834,1753969012563,1753968983045,1753969012563,,,48896
44262358789404121574780781034627280817528680486947837455454608795752966912182,1753968973888,1753969001377,1753969001419,,,,,27530
